"Country","Product","Year","Month","Catch(kg)"
"Belgium","Atlantic Cod","2015","May","503"
"Belgium","Atlantic Cod","2015","Nov","9"
"Belgium","Atlantic Cod","2017","Apr","84"
"Belgium","Atlantic Cod","2018","Dec","145"
"Belgium","Atlantic Cod","2018","Nov","47"
"Belgium","Atlantic Cod","2019","Apr","12"
"Belgium","Atlantic Cod","2019","Jan","9"
"Belgium","Atlantic Cod","2019","Mar","18"
"Belgium","Atlantic Cod","2019","May","6"
"Denmark","Atlantic Cod","2015","Apr","2791033"
"Denmark","Atlantic Cod","2015","Aug","1886444"
"Denmark","Atlantic Cod","2015","Dec","2198838"
"Denmark","Atlantic Cod","2015","Feb","3495738"
"Denmark","Atlantic Cod","2015","Jan","3470581"
"Denmark","Atlantic Cod","2015","Jul","1872832"
"Denmark","Atlantic Cod","2015","Jun","3146711"
"Denmark","Atlantic Cod","2015","Mar","3508983"
"Denmark","Atlantic Cod","2015","May","3177724"
"Denmark","Atlantic Cod","2015","Nov","2304346"
"Denmark","Atlantic Cod","2015","Oct","2304510"
"Denmark","Atlantic Cod","2015","Sep","2073552"
"Denmark","Atlantic Cod","2016","Apr","2887665"
"Denmark","Atlantic Cod","2016","Aug","1749275"
"Denmark","Atlantic Cod","2016","Dec","2795591"
"Denmark","Atlantic Cod","2016","Feb","2520398"
"Denmark","Atlantic Cod","2016","Jan","3522508"
"Denmark","Atlantic Cod","2016","Jul","1418049"
"Denmark","Atlantic Cod","2016","Jun","2450050"
"Denmark","Atlantic Cod","2016","Mar","2335068"
"Denmark","Atlantic Cod","2016","May","2710645"
"Denmark","Atlantic Cod","2016","Nov","2133998"
"Denmark","Atlantic Cod","2016","Oct","1851959"
"Denmark","Atlantic Cod","2016","Sep","2335350"
"Denmark","Atlantic Cod","2017","Apr","1906910"
"Denmark","Atlantic Cod","2017","Aug","1602751"
"Denmark","Atlantic Cod","2017","Dec","2545221"
"Denmark","Atlantic Cod","2017","Feb","1462884"
"Denmark","Atlantic Cod","2017","Jan","3248999"
"Denmark","Atlantic Cod","2017","Jul","1231463"
"Denmark","Atlantic Cod","2017","Jun","1701089"
"Denmark","Atlantic Cod","2017","Mar","2254166"
"Denmark","Atlantic Cod","2017","May","2492568"
"Denmark","Atlantic Cod","2017","Nov","2306854"
"Denmark","Atlantic Cod","2017","Oct","1302633"
"Denmark","Atlantic Cod","2017","Sep","1739979"
"Denmark","Atlantic Cod","2018","Apr","1993012"
"Denmark","Atlantic Cod","2018","Aug","1566398"
"Denmark","Atlantic Cod","2018","Dec","1457004"
"Denmark","Atlantic Cod","2018","Feb","1226050"
"Denmark","Atlantic Cod","2018","Jan","2596061"
"Denmark","Atlantic Cod","2018","Jul","1421658"
"Denmark","Atlantic Cod","2018","Jun","1510548"
"Denmark","Atlantic Cod","2018","Mar","1647394"
"Denmark","Atlantic Cod","2018","May","2020083"
"Denmark","Atlantic Cod","2018","Nov","1829606"
"Denmark","Atlantic Cod","2018","Oct","1520505"
"Denmark","Atlantic Cod","2018","Sep","1263793"
"Denmark","Atlantic Cod","2019","Apr","1063581"
"Denmark","Atlantic Cod","2019","Aug","720294"
"Denmark","Atlantic Cod","2019","Feb","1019424"
"Denmark","Atlantic Cod","2019","Jan","2235702"
"Denmark","Atlantic Cod","2019","Jul","936939"
"Denmark","Atlantic Cod","2019","Jun","978310"
"Denmark","Atlantic Cod","2019","Mar","725413"
"Denmark","Atlantic Cod","2019","May","989754"
"Faroe Islands","Atlantic Cod","2015","Apr","659400"
"Faroe Islands","Atlantic Cod","2015","Aug","727300"
"Faroe Islands","Atlantic Cod","2015","Dec","770000"
"Faroe Islands","Atlantic Cod","2015","Feb","1522700"
"Faroe Islands","Atlantic Cod","2015","Jan","523300"
"Faroe Islands","Atlantic Cod","2015","Jul","983300"
"Faroe Islands","Atlantic Cod","2015","Jun","911400"
"Faroe Islands","Atlantic Cod","2015","Mar","2289900"
"Faroe Islands","Atlantic Cod","2015","May","618600"
"Faroe Islands","Atlantic Cod","2015","Nov","1078500"
"Faroe Islands","Atlantic Cod","2015","Oct","667500"
"Faroe Islands","Atlantic Cod","2015","Sep","1300400"
"Faroe Islands","Atlantic Cod","2016","Apr","925400"
"Faroe Islands","Atlantic Cod","2016","Aug","453900"
"Faroe Islands","Atlantic Cod","2016","Dec","852400"
"Faroe Islands","Atlantic Cod","2016","Feb","1597600"
"Faroe Islands","Atlantic Cod","2016","Jan","1553000"
"Faroe Islands","Atlantic Cod","2016","Jul","542800"
"Faroe Islands","Atlantic Cod","2016","Jun","1089600"
"Faroe Islands","Atlantic Cod","2016","Mar","1900900"
"Faroe Islands","Atlantic Cod","2016","May","521700"
"Faroe Islands","Atlantic Cod","2016","Nov","1385000"
"Faroe Islands","Atlantic Cod","2016","Oct","724800"
"Faroe Islands","Atlantic Cod","2016","Sep","1413600"
"Faroe Islands","Atlantic Cod","2017","Apr","703100"
"Faroe Islands","Atlantic Cod","2017","Aug","696500"
"Faroe Islands","Atlantic Cod","2017","Dec","613300"
"Faroe Islands","Atlantic Cod","2017","Feb","2036400"
"Faroe Islands","Atlantic Cod","2017","Jan","1445600"
"Faroe Islands","Atlantic Cod","2017","Jul","1145500"
"Faroe Islands","Atlantic Cod","2017","Jun","937600"
"Faroe Islands","Atlantic Cod","2017","Mar","1073700"
"Faroe Islands","Atlantic Cod","2017","May","658600"
"Faroe Islands","Atlantic Cod","2017","Nov","712500"
"Faroe Islands","Atlantic Cod","2017","Oct","757300"
"Faroe Islands","Atlantic Cod","2017","Sep","582500"
"Faroe Islands","Atlantic Cod","2018","Apr","1669500"
"Faroe Islands","Atlantic Cod","2018","Aug","1200400"
"Faroe Islands","Atlantic Cod","2018","Dec","1413700"
"Faroe Islands","Atlantic Cod","2018","Feb","1993100"
"Faroe Islands","Atlantic Cod","2018","Jan","1265400"
"Faroe Islands","Atlantic Cod","2018","Jul","1424200"
"Faroe Islands","Atlantic Cod","2018","Jun","1089500"
"Faroe Islands","Atlantic Cod","2018","Mar","1580600"
"Faroe Islands","Atlantic Cod","2018","May","936200"
"Faroe Islands","Atlantic Cod","2018","Nov","2193900"
"Faroe Islands","Atlantic Cod","2018","Oct","1491800"
"Faroe Islands","Atlantic Cod","2018","Sep","944900"
"Faroe Islands","Atlantic Cod","2019","Apr","2326700"
"Faroe Islands","Atlantic Cod","2019","Aug","1647600"
"Faroe Islands","Atlantic Cod","2019","Feb","1874300"
"Faroe Islands","Atlantic Cod","2019","Jan","2126300"
"Faroe Islands","Atlantic Cod","2019","Jul","1833000"
"Faroe Islands","Atlantic Cod","2019","Jun","2040500"
"Faroe Islands","Atlantic Cod","2019","Mar","2219900"
"Faroe Islands","Atlantic Cod","2019","May","1637000"
"France","Atlantic Cod","2015","Apr","5849"
"France","Atlantic Cod","2015","Aug","77"
"France","Atlantic Cod","2015","Dec","2466"
"France","Atlantic Cod","2015","Feb","11239"
"France","Atlantic Cod","2015","Jan","10019"
"France","Atlantic Cod","2015","Jun","495"
"France","Atlantic Cod","2015","Mar","10813"
"France","Atlantic Cod","2015","May","1956"
"France","Atlantic Cod","2015","Nov","2048"
"France","Atlantic Cod","2015","Oct","15653"
"France","Atlantic Cod","2015","Sep","76"
"France","Atlantic Cod","2016","Apr","4565"
"France","Atlantic Cod","2016","Aug","114"
"France","Atlantic Cod","2016","Dec","10134"
"France","Atlantic Cod","2016","Feb","9224"
"France","Atlantic Cod","2016","Jan","8965"
"France","Atlantic Cod","2016","Jul","569"
"France","Atlantic Cod","2016","Jun","1097"
"France","Atlantic Cod","2016","Mar","8684"
"France","Atlantic Cod","2016","May","315"
"France","Atlantic Cod","2016","Nov","575"
"France","Atlantic Cod","2016","Oct","13571"
"France","Atlantic Cod","2016","Sep","385"
"France","Atlantic Cod","2017","Apr","1055"
"France","Atlantic Cod","2017","Aug","611"
"France","Atlantic Cod","2017","Dec","120"
"France","Atlantic Cod","2017","Feb","8154"
"France","Atlantic Cod","2017","Jan","9170"
"France","Atlantic Cod","2017","Jul","28"
"France","Atlantic Cod","2017","Jun","918"
"France","Atlantic Cod","2017","Mar","1776"
"France","Atlantic Cod","2017","May","73"
"France","Atlantic Cod","2017","Nov","9470"
"France","Atlantic Cod","2017","Oct","362"
"France","Atlantic Cod","2017","Sep","10679"
"France","Atlantic Cod","2018","Apr","1487"
"France","Atlantic Cod","2018","Aug","514"
"France","Atlantic Cod","2018","Dec","40"
"France","Atlantic Cod","2018","Feb","5098"
"France","Atlantic Cod","2018","Jan","2902"
"France","Atlantic Cod","2018","Jul","290"
"France","Atlantic Cod","2018","Jun","19"
"France","Atlantic Cod","2018","Mar","1476"
"France","Atlantic Cod","2018","May","114"
"France","Atlantic Cod","2018","Nov","517"
"France","Atlantic Cod","2018","Oct","593"
"France","Atlantic Cod","2018","Sep","23"
"France","Atlantic Cod","2019","Apr","213"
"France","Atlantic Cod","2019","Feb","176"
"France","Atlantic Cod","2019","Jan","251"
"France","Atlantic Cod","2019","Mar","172"
"France","Atlantic Cod","2019","May","53"
"Germany","Atlantic Cod","2015","Apr","1338397"
"Germany","Atlantic Cod","2015","Jan","993324"
"Germany","Atlantic Cod","2015","Jun","2359831"
"Germany","Atlantic Cod","2015","Mar","2526011"
"Germany","Atlantic Cod","2016","Jan","2284859"
"Germany","Atlantic Cod","2018","Sep","641480"
"Germany","Atlantic Cod","2019","Apr","15304"
"Germany","Atlantic Cod","2019","Feb","835042"
"Germany","Atlantic Cod","2019","Jan","131351"
"Germany","Atlantic Cod","2019","Jul","59"
"Germany","Atlantic Cod","2019","Jun","30245"
"Germany","Atlantic Cod","2019","Mar","64526"
"Germany","Atlantic Cod","2019","May","6895"
"Greenland","Atlantic Cod","2015","Apr","986340"
"Greenland","Atlantic Cod","2015","Aug","3806540"
"Greenland","Atlantic Cod","2015","Dec","1794290"
"Greenland","Atlantic Cod","2015","Feb","643380"
"Greenland","Atlantic Cod","2015","Jan","816290"
"Greenland","Atlantic Cod","2015","Jul","5452660"
"Greenland","Atlantic Cod","2015","Jun","4447600"
"Greenland","Atlantic Cod","2015","Mar","908670"
"Greenland","Atlantic Cod","2015","May","1753620"
"Greenland","Atlantic Cod","2015","Nov","4175910"
"Greenland","Atlantic Cod","2015","Oct","4836520"
"Greenland","Atlantic Cod","2015","Sep","3963570"
"Greenland","Atlantic Cod","2016","Apr","1745010"
"Greenland","Atlantic Cod","2016","Aug","4976770"
"Greenland","Atlantic Cod","2016","Dec","2031100"
"Greenland","Atlantic Cod","2016","Feb","1341030"
"Greenland","Atlantic Cod","2016","Jan","1488890"
"Greenland","Atlantic Cod","2016","Jul","5816030"
"Greenland","Atlantic Cod","2016","Jun","5037540"
"Greenland","Atlantic Cod","2016","Mar","1165190"
"Greenland","Atlantic Cod","2016","May","4076090"
"Greenland","Atlantic Cod","2016","Nov","3720780"
"Greenland","Atlantic Cod","2016","Oct","4465600"
"Greenland","Atlantic Cod","2016","Sep","4482040"
"Greenland","Atlantic Cod","2017","Apr","1060340"
"Greenland","Atlantic Cod","2017","Aug","4230800"
"Greenland","Atlantic Cod","2017","Dec","2256280"
"Greenland","Atlantic Cod","2017","Feb","814010"
"Greenland","Atlantic Cod","2017","Jan","423610"
"Greenland","Atlantic Cod","2017","Jul","6368920"
"Greenland","Atlantic Cod","2017","Jun","16087820"
"Greenland","Atlantic Cod","2017","Mar","8818650"
"Greenland","Atlantic Cod","2017","May","4389720"
"Greenland","Atlantic Cod","2017","Nov","3629750"
"Greenland","Atlantic Cod","2017","Oct","4172800"
"Greenland","Atlantic Cod","2017","Sep","5138920"
"Greenland","Atlantic Cod","2018","Apr","1313450"
"Greenland","Atlantic Cod","2018","Aug","3489150"
"Greenland","Atlantic Cod","2018","Dec","2818960"
"Greenland","Atlantic Cod","2018","Feb","454730"
"Greenland","Atlantic Cod","2018","Jan","1066530"
"Greenland","Atlantic Cod","2018","Jul","4788550"
"Greenland","Atlantic Cod","2018","Jun","10793920"
"Greenland","Atlantic Cod","2018","Mar","12412110"
"Greenland","Atlantic Cod","2018","May","1921560"
"Greenland","Atlantic Cod","2018","Nov","1763870"
"Greenland","Atlantic Cod","2018","Oct","3284570"
"Greenland","Atlantic Cod","2018","Sep","5995580"
"Greenland","Atlantic Cod","2019","Apr","1011970"
"Greenland","Atlantic Cod","2019","Aug","2036270"
"Greenland","Atlantic Cod","2019","Feb","691510"
"Greenland","Atlantic Cod","2019","Jan","655320"
"Greenland","Atlantic Cod","2019","Jul","3782350"
"Greenland","Atlantic Cod","2019","Jun","12382020"
"Greenland","Atlantic Cod","2019","Mar","8236710"
"Greenland","Atlantic Cod","2019","May","2850330"
"Iceland","Atlantic Cod","2015","Apr","16634824"
"Iceland","Atlantic Cod","2015","Aug","12329141"
"Iceland","Atlantic Cod","2015","Dec","21547146"
"Iceland","Atlantic Cod","2015","Feb","25824024"
"Iceland","Atlantic Cod","2015","Jan","18102222"
"Iceland","Atlantic Cod","2015","Jul","14609240"
"Iceland","Atlantic Cod","2015","Jun","19182690"
"Iceland","Atlantic Cod","2015","Mar","34493309"
"Iceland","Atlantic Cod","2015","May","19467327"
"Iceland","Atlantic Cod","2015","Nov","24560221"
"Iceland","Atlantic Cod","2015","Oct","25121224"
"Iceland","Atlantic Cod","2015","Sep","23782752"
"Iceland","Atlantic Cod","2016","Apr","22610502"
"Iceland","Atlantic Cod","2016","Aug","17838223"
"Iceland","Atlantic Cod","2016","Dec","16043400"
"Iceland","Atlantic Cod","2016","Feb","30800806"
"Iceland","Atlantic Cod","2016","Jan","25108278"
"Iceland","Atlantic Cod","2016","Jul","14796621"
"Iceland","Atlantic Cod","2016","Jun","20693353"
"Iceland","Atlantic Cod","2016","Mar","29784273"
"Iceland","Atlantic Cod","2016","May","24203405"
"Iceland","Atlantic Cod","2016","Nov","27211599"
"Iceland","Atlantic Cod","2016","Oct","27002665"
"Iceland","Atlantic Cod","2016","Sep","22384026"
"Iceland","Atlantic Cod","2017","Apr","19186446"
"Iceland","Atlantic Cod","2017","Aug","22726961"
"Iceland","Atlantic Cod","2017","Dec","20654286"
"Iceland","Atlantic Cod","2017","Feb","16297391"
"Iceland","Atlantic Cod","2017","Jan","7132522"
"Iceland","Atlantic Cod","2017","Jul","20019150"
"Iceland","Atlantic Cod","2017","Jun","22978468"
"Iceland","Atlantic Cod","2017","Mar","37964881"
"Iceland","Atlantic Cod","2017","May","29569250"
"Iceland","Atlantic Cod","2017","Nov","27203602"
"Iceland","Atlantic Cod","2017","Oct","27741999"
"Iceland","Atlantic Cod","2017","Sep","21465085"
"Iceland","Atlantic Cod","2018","Apr","27037207"
"Iceland","Atlantic Cod","2018","Aug","21547644"
"Iceland","Atlantic Cod","2018","Dec","17517718"
"Iceland","Atlantic Cod","2018","Feb","27001229"
"Iceland","Atlantic Cod","2018","Jan","24409002"
"Iceland","Atlantic Cod","2018","Jul","20646885"
"Iceland","Atlantic Cod","2018","Jun","19774749"
"Iceland","Atlantic Cod","2018","Mar","40593683"
"Iceland","Atlantic Cod","2018","May","28056369"
"Iceland","Atlantic Cod","2018","Nov","26583407"
"Iceland","Atlantic Cod","2018","Oct","27587311"
"Iceland","Atlantic Cod","2018","Sep","20741030"
"Iceland","Atlantic Cod","2019","Apr","23946816"
"Iceland","Atlantic Cod","2019","Aug","17732953"
"Iceland","Atlantic Cod","2019","Feb","29113025"
"Iceland","Atlantic Cod","2019","Jan","24504352"
"Iceland","Atlantic Cod","2019","Jul","21902552"
"Iceland","Atlantic Cod","2019","Jun","17723558"
"Iceland","Atlantic Cod","2019","Mar","31716854"
"Iceland","Atlantic Cod","2019","May","26706411"
"Iceland","Atlantic Cod","2019","Oct","3983941"
"Iceland","Atlantic Cod","2019","Sep","22763113"
"Ireland","Atlantic Cod","2015","Apr","10289"
"Ireland","Atlantic Cod","2015","Aug","1239"
"Ireland","Atlantic Cod","2015","Dec","4849"
"Ireland","Atlantic Cod","2015","Feb","5445"
"Ireland","Atlantic Cod","2015","Jan","3989"
